,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaqortoq,60.7167,-46.0333,50.0,29,20,11.5,GL,1619132249
1,Half Moon Bay,37.4636,-122.4286,62.01,87,75,6.91,US,1619132459
2,Hobyo,5.3505,48.5268,83.53,71,77,11.59,SO,1619132459
3,Atuona,-9.8,-139.0333,80.82,76,49,19.53,PF,1619132460
4,Kapaa,22.0752,-159.319,81.0,73,20,9.22,US,1619132460
5,Usinsk,65.9939,57.5281,37.54,94,100,20.38,RU,1619132460
6,Campos Sales,-7.0744,-40.3761,69.73,90,61,3.8,BR,1619132461
7,Seymchan,62.8833,152.4333,24.8,92,100,2.51,RU,1619132461
8,Kharagauli,42.0214,43.1977,50.0,93,90,2.3,GE,1619132462
9,Chokurdakh,70.6333,147.9167,0.91,95,95,6.08,RU,1619132462
10,Baie-Comeau,49.2168,-68.1489,33.8,93,90,14.97,CA,1619132463
11,Kudahuvadhoo,2.6708,72.8944,82.58,70,91,11.16,MV,1619132463
12,Andros,37.8333,24.9333,62.01,48,53,8.01,GR,1619132464
13,Bonavista,48.6499,-53.1147,48.2,76,100,8.05,CA,1619132330
14,Barrow,71.2906,-156.7887,21.2,86,1,8.05,US,1619132464
15,Punta Arenas,-53.15,-70.9167,46.4,93,75,4.61,CL,1619132465
16,Mataura,-46.1927,168.8643,54.0,87,98,4.0,NZ,1619132465
17,Busselton,-33.65,115.3333,57.0,84,82,1.99,AU,1619132465
18,Pacific Grove,36.6177,-121.9166,57.2,67,90,12.66,US,1619132290
19,Port Alfred,-33.5906,26.891,67.6,82,58,19.44,ZA,1619132466
20,Norman Wells,65.282,-126.8329,26.6,63,75,11.5,CA,1619132466
21,Khatanga,71.9667,102.5,28.08,96,99,12.53,RU,1619132467
22,Hithadhoo,-0.6,73.0833,82.58,74,42,8.12,MV,1619132184
23,Mahon,39.8885,4.2658,50.0,93,20,3.44,ES,1619132468
24,Constitución,-35.3333,-72.4167,55.04,85,90,11.92,CL,1619132468
25,Margate,51.3813,1.3862,43.0,74,7,1.99,GB,1619132469
26,Mitú,1.1983,-70.1733,75.27,92,96,1.59,CO,1619132469
27,New Norfolk,-42.7826,147.0587,52.0,66,60,3.0,AU,1619132470
28,Bluff,-46.6,168.3333,54.0,87,100,4.0,NZ,1619132470
29,Victor Harbor,-35.5667,138.6167,60.01,80,85,9.37,AU,1619132471
30,Yellowknife,62.456,-114.3525,16.0,53,75,18.41,CA,1619132471
31,Carutapera,-1.195,-46.02,75.83,91,100,3.91,BR,1619132471
32,Dauriya,49.9333,116.8667,37.72,43,89,14.74,RU,1619132472
33,Vaini,-21.2,-175.2,84.2,84,75,6.91,TO,1619132472
34,Nicoya,10.1483,-85.452,89.6,40,0,16.11,CR,1619132472
35,Lorengau,-2.0226,147.2712,82.53,77,100,2.42,PG,1619132473
36,Northam,51.0333,-4.2167,46.0,71,0,5.99,GB,1619132473
37,Gravdal,68.1214,13.5031,35.28,54,92,14.85,NO,1619132474
38,Guerrero Negro,27.9769,-114.0611,64.53,55,2,19.44,MX,1619132474
39,Mareeba,-17.0,145.4333,78.01,88,90,9.22,AU,1619132475
40,Bredasdorp,-34.5322,20.0403,62.08,92,1,1.88,ZA,1619132475
41,Arraial do Cabo,-22.9661,-42.0278,71.6,88,20,14.97,BR,1619132476
42,Kavieng,-2.5744,150.7967,82.27,74,92,7.31,PG,1619132486
43,Hermanus,-34.4187,19.2345,61.0,81,0,3.0,ZA,1619132486
44,Kaitangata,-46.2817,169.8464,55.0,84,100,1.99,NZ,1619132478
45,Rikitea,-23.1203,-134.9692,77.9,75,85,15.3,PF,1619132487
46,Si Satchanalai,17.5169,99.7598,81.95,65,8,2.73,TH,1619132487
47,Dingle,10.9995,122.6711,80.73,77,89,8.81,PH,1619132488
48,Itanagar,27.1,93.6167,68.22,79,5,3.11,IN,1619132488
49,Thompson,55.7435,-97.8558,21.2,68,75,18.41,CA,1619132488
50,Beringovskiy,63.05,179.3167,26.11,72,59,7.92,RU,1619132489
51,Albany,42.6001,-73.9662,41.0,37,82,1.01,US,1619132412
52,Carnarvon,-24.8667,113.6333,66.2,63,40,6.91,AU,1619132490
53,Cape Town,-33.9258,18.4232,57.0,100,90,12.66,ZA,1619132244
54,Trat,12.5,102.5,82.0,99,87,1.99,TH,1619132491
55,Tiksi,71.6872,128.8694,13.23,86,100,4.43,RU,1619132491
56,Lundazi,-12.2929,33.1782,61.14,91,0,6.62,ZM,1619132491
57,Ushuaia,-54.8,-68.3,42.8,87,75,11.5,AR,1619132411
58,Cervo,43.6702,-7.4101,54.0,87,98,1.01,ES,1619132492
59,Rantepao,-2.9701,119.8978,67.93,96,100,1.66,ID,1619132410
60,Ogaminana,7.5946,6.2248,78.01,88,54,6.8,NG,1619132492
61,Saint-Philippe,-21.3585,55.7679,77.0,73,90,11.5,RE,1619132480
62,Mahébourg,-20.4081,57.7,77.0,94,75,6.91,MU,1619132464
63,Richards Bay,-28.783,32.0377,67.59,88,90,7.4,ZA,1619132282
64,North Myrtle Beach,33.816,-78.68,61.0,23,1,10.36,US,1619132279
65,Hobart,-42.8794,147.3294,55.4,47,75,10.36,AU,1619132263
66,Havøysund,70.9963,24.6622,32.0,80,40,5.75,NO,1619132317
67,Butaritari,3.0707,172.7902,82.72,74,58,10.4,KI,1619132481
68,Bathsheba,13.2167,-59.5167,80.6,61,40,19.57,BB,1619132467
69,Ahipara,-35.1667,173.1667,67.57,72,98,9.26,NZ,1619132494
70,Sur,22.5667,59.5289,85.59,30,6,14.5,OM,1619132495
71,La Ronge,55.1001,-105.2842,28.4,43,99,16.11,CA,1619132495
72,Pushkinskiye Gory,57.0209,28.9103,37.69,81,100,8.21,RU,1619132496
73,Saint-Pierre,-21.3393,55.4781,77.0,73,90,11.5,RE,1619132496
74,Tuktoyaktuk,69.4541,-133.0374,12.2,73,20,9.22,CA,1619132496
75,Tasiilaq,65.6145,-37.6368,28.4,59,75,10.36,GL,1619132497
76,Campbellton,48.0075,-66.6727,35.6,93,100,11.5,CA,1619132362
77,Nālūt,30.3333,10.85,76.57,23,14,6.35,LY,1619132498
78,Coquimbo,-29.9533,-71.3436,59.0,82,75,6.91,CL,1619132495
79,Lebu,-37.6167,-73.65,52.32,76,89,2.3,CL,1619132498
80,Te Anau,-45.4167,167.7167,53.29,76,93,6.15,NZ,1619132499
81,Mendi,-6.1761,143.6513,63.19,82,99,0.89,PG,1619132499
82,Kavaratti,10.5669,72.642,83.28,69,73,7.56,IN,1619132499
83,Jamestown,42.097,-79.2353,35.01,93,90,18.41,US,1619132283
84,East London,-33.0153,27.9116,67.62,80,98,11.3,ZA,1619132413
85,Tiarei,-17.5333,-149.3333,84.2,65,20,8.05,PF,1619132345
86,Tessalit,20.1986,1.0114,84.16,7,0,7.74,ML,1619132511
87,Hilo,19.7297,-155.09,82.4,54,90,11.5,US,1619132511
88,Luba,3.4568,8.5547,82.63,80,74,7.43,GQ,1619132512
89,Alençon,48.4333,0.0833,53.6,43,0,9.22,FR,1619132512
90,Dunedin,-45.8742,170.5036,64.99,60,99,3.0,NZ,1619132393
91,Balsas,-7.5325,-46.0356,75.9,80,63,3.44,BR,1619132423
92,Ancud,-41.8697,-73.8203,51.01,100,75,8.05,CL,1619132513
93,Muhos,64.808,25.9931,33.8,93,90,4.61,FI,1619132513
94,Fort Nelson,58.8053,-122.7002,39.2,35,75,10.36,CA,1619132514
95,Virginia Beach,36.8529,-75.978,55.4,30,75,12.66,US,1619132460
96,Lima,-12.0432,-77.0282,66.99,88,90,12.66,PE,1619132275
97,Kloulklubed,7.0419,134.2556,82.4,78,75,5.75,PW,1619132253
98,Saint George,37.1041,-113.5841,75.99,15,1,17.27,US,1619132433
99,Pangnirtung,66.1451,-65.7125,19.4,86,40,8.05,CA,1619132515
100,Maryborough,-25.5333,152.7,70.0,50,94,3.0,AU,1619132516
101,Fortuna,40.5982,-124.1573,60.01,76,1,16.11,US,1619132483
102,Clyde River,70.4692,-68.5914,19.4,68,90,9.22,CA,1619132516
103,Turaif,31.6725,38.6637,69.8,23,0,9.22,SA,1619132517
104,Nikolskoye,59.7035,30.7861,45.0,87,90,5.93,RU,1619132517
105,Amapá,1.0,-52.0,72.45,99,100,2.42,BR,1619132518
106,Amuntai,-2.4177,115.2494,73.6,89,68,0.4,ID,1619132518
107,São João da Barra,-21.6403,-41.0511,71.82,74,1,16.26,BR,1619132518
108,Nanortalik,60.1432,-45.2371,35.76,81,57,3.78,GL,1619132519
109,Trairi,-3.2778,-39.2689,77.61,83,16,4.72,BR,1619132519
110,Kamenka,51.3223,42.7678,43.0,86,73,4.7,RU,1619132309
111,Hasaki,35.7333,140.8333,55.0,62,20,13.8,JP,1619132520
112,Bollnäs,61.3482,16.3946,33.01,67,30,5.99,SE,1619132520
113,Jasper,37.2001,-94.3502,57.99,30,1,5.75,US,1619132223
114,San Cristobal,7.7669,-72.225,86.0,62,20,10.36,VE,1619132521
115,Salinas,36.6777,-121.6555,59.0,67,90,16.11,US,1619132289
116,Severo-Kuril'sk,50.6789,156.125,35.71,93,69,3.11,RU,1619132521
117,Tautira,-17.7333,-149.15,84.2,65,20,8.05,PF,1619132491
118,Naze,28.3667,129.4833,69.8,83,75,18.41,JP,1619132522
119,Campo Maior,-4.8278,-42.1686,74.73,95,85,4.65,BR,1619132522
120,Lundamo,63.1333,10.3,35.01,93,100,11.48,NO,1619132523
121,Samaná,19.2056,-69.3369,80.6,78,75,13.8,DO,1619132523
122,Dikson,73.5069,80.5464,27.46,93,100,23.42,RU,1619132523
123,Ayan,56.45,138.1667,34.0,78,100,7.14,RU,1619132503
124,Hamilton,39.1834,-84.5333,52.0,32,1,12.66,US,1619132326
125,Ongandjera,-17.8833,15.0667,73.74,30,75,6.46,NA,1619132524
126,Independence,39.0911,-94.4155,55.4,44,1,9.22,US,1619132400
127,Ariquemes,-9.9133,-63.0408,73.87,94,64,1.32,BR,1619132418
128,Touros,-5.1989,-35.4608,80.6,78,40,6.91,BR,1619132525
129,Fuxin,42.0156,121.6589,50.81,91,100,2.98,CN,1619132525
130,Kitimat,54.0524,-128.6534,64.0,35,83,1.66,CA,1619132408
131,Puerto Ayora,-0.7393,-90.3518,82.4,74,20,19.57,EC,1619132519
132,Iqaluit,63.7506,-68.5145,21.2,86,90,3.44,CA,1619132536
133,Flin Flon,54.7682,-101.865,28.4,54,90,16.11,CA,1619132537
134,Los Llanos de Aridane,28.6585,-17.9182,68.0,68,0,5.75,ES,1619132537
135,São Lourenço do Sul,-31.3653,-51.9783,68.0,82,4,13.65,BR,1619132538
136,Troitskoye,52.9821,84.6757,26.42,86,11,9.57,RU,1619132538
137,Meulaboh,4.1363,96.1285,76.05,89,90,2.93,ID,1619132539
138,Ribeira Grande,38.5167,-28.7,57.13,76,50,37.49,PT,1619132539
139,Mīnāb,27.1467,57.0801,77.0,73,30,4.61,IR,1619132304
140,Yuli,9.6989,10.2744,87.51,51,46,10.07,NG,1619132540
141,Hella,67.2,14.4333,35.6,69,40,10.36,NO,1619132540
142,Esperance,-33.8667,121.9,53.6,94,99,10.36,AU,1619132540
143,Bengkulu,-3.8004,102.2655,73.44,87,86,3.83,ID,1619132541
144,Uglovoye,44.8215,33.6045,51.01,61,0,8.99,UA,1619132541
145,George Town,5.4112,100.3354,77.0,88,40,13.8,MY,1619132406
146,Castro,-24.7911,-50.0119,58.05,84,98,3.58,BR,1619132465
147,Marsh Harbour,26.5412,-77.0636,75.94,76,27,10.92,BS,1619132542
148,Portland,45.5234,-122.6762,66.99,48,75,3.58,US,1619131949
149,Mar del Plata,-38.0023,-57.5575,68.0,94,40,8.05,AR,1619132441
150,Lagoa,39.05,-27.9833,56.21,78,39,41.63,PT,1619132543
151,Kilindoni,-7.9139,39.6668,79.99,81,71,16.53,TZ,1619132543
152,Kimamba,-6.7833,37.1333,68.16,96,60,3.2,TZ,1619132544
153,Lae,-6.7221,146.9847,77.0,88,75,4.61,PG,1619132544
154,Kununurra,-15.7667,128.7333,77.0,47,100,6.91,AU,1619132314
155,Itarema,-2.9248,-39.9167,78.3,81,20,6.6,BR,1619132331
156,Plettenberg Bay,-34.0527,23.3716,65.66,78,1,6.73,ZA,1619132545
157,Ginda,30.6945,78.4932,46.18,80,100,5.59,IN,1619132545
158,Iquitos,-3.7481,-73.2472,87.8,70,40,4.61,PE,1619132546
159,Ružomberok,49.0748,19.3075,41.0,60,0,4.61,SK,1619132546
160,Lompoc,34.6391,-120.4579,57.0,67,52,10.36,US,1619132547
161,Grants Pass,42.439,-123.3284,75.0,18,1,11.5,US,1619132547
162,Riyadh,24.6877,46.7219,86.0,14,0,8.05,SA,1619132533
163,Salalah,17.0151,54.0924,80.6,74,0,2.3,OM,1619132548
164,Shahr-e Kord,32.3256,50.8644,48.2,57,20,6.91,IR,1619132548
165,Deer Lake,49.1667,-57.4316,50.0,87,90,12.66,CA,1619132549
166,Doka,13.5167,35.7667,85.82,36,53,5.77,SD,1619132549
167,Muncar,-8.4333,114.3333,73.31,84,30,1.36,ID,1619132549
168,Nānākuli,21.3906,-158.1547,84.2,51,75,13.8,US,1619132286
169,Carrollton,32.9537,-96.8903,64.4,34,90,13.8,US,1619132409
170,Palmer,42.1584,-72.3287,42.01,33,75,20.71,US,1619132536
171,Bambous Virieux,-20.3428,57.7575,77.0,94,75,6.91,MU,1619132551
172,Sabha,27.0377,14.4283,81.54,15,100,21.79,LY,1619132561
173,Mpika,-11.8343,31.4529,58.57,97,35,6.31,ZM,1619132562
174,San Rafael,-34.6177,-68.3301,59.32,64,80,7.54,AR,1619132562
175,Gurupá,-1.405,-51.64,71.26,97,100,3.65,BR,1619132443
176,Chui,-33.6971,-53.4616,65.5,80,8,12.03,UY,1619132478
177,Vao,-22.6667,167.4833,74.26,73,32,5.61,NC,1619132530
178,Ajdabiya,30.7554,20.2263,73.92,21,81,12.33,LY,1619132563
179,Khovd,48.0056,91.6419,30.99,35,100,3.58,MN,1619132564
180,Qaanaaq,77.484,-69.3632,13.57,81,79,8.14,GL,1619132554
181,Zhaotong,27.3167,103.7167,53.4,91,20,3.02,CN,1619132564
182,Novobureyskiy,49.798,129.8774,46.54,63,100,11.9,RU,1619132565
183,Kahului,20.8947,-156.47,84.2,48,40,21.85,US,1619132565
184,Saint Paul Harbor,57.79,-152.4072,42.8,87,90,12.66,US,1619132566
185,Diffa,13.3154,12.6113,89.26,10,76,6.29,NE,1619132566
186,Mezen',65.8522,44.24,35.28,94,94,8.03,RU,1619132282
187,Yabrūd,33.9674,36.6574,50.0,57,0,5.75,SY,1619132567
188,Zyryanka,65.75,150.85,17.65,84,100,10.13,RU,1619132567
189,Sooke,48.3746,-123.7276,57.0,64,10,13.8,CA,1619132568
190,Srednekolymsk,67.45,153.6833,14.56,84,96,4.27,RU,1619132509
191,Sisimiut,66.9395,-53.6735,30.11,75,61,6.91,GL,1619132568
192,Nuuk,64.1835,-51.7216,39.2,52,0,4.7,GL,1619132569
193,Bethel,41.3712,-73.414,42.01,47,86,1.99,US,1619132569
194,Fukuechō,32.6881,128.8419,65.73,71,100,4.03,JP,1619132569
195,Malpe,13.35,74.7167,76.95,78,99,1.83,IN,1619132570
196,Narsaq,60.9167,-46.05,50.0,29,88,8.05,GL,1619132570
197,Alexandria,31.2156,29.9553,62.6,77,0,5.75,EG,1619132571
198,Vallenar,-28.5708,-70.7581,63.46,63,73,4.72,CL,1619132571
199,Bambuí,-20.0064,-45.9769,70.86,49,61,1.21,BR,1619132571
200,Progreso,21.2833,-89.6667,90.0,62,75,6.91,MX,1619132572
201,Longyearbyen,78.2186,15.6401,15.8,73,75,4.61,SJ,1619132543
202,Pevek,69.7008,170.3133,22.23,72,29,10.51,RU,1619132513
203,Lüderitz,-26.6481,15.1594,64.85,71,1,7.02,NA,1619132488
204,Brae,60.3964,-1.353,41.0,81,90,6.91,GB,1619132573
205,San Vicente,-26.6167,-54.1333,63.54,61,97,2.21,AR,1619132413
206,Kipushi,-11.7667,27.2333,63.41,90,100,5.46,CD,1619132573
207,Graciano Sánchez,23.9167,-99.2833,87.8,37,40,4.61,MX,1619132574
